"","state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"193","Nebraska","NE",2011,22.7,30.2,15.7,13.1
"194","New Hampshire","NH",2011,18.7,24.7,12.9,8.8
"195","New Jersey","NJ",2011,18.2,24.1,12.7,10.4
"196","New Mexico","NM",2011,16.4,23,10.1,21.5
"197","Nevada","NV",2011,18.6,23.9,13.2,15.9
"198","New York","NY",2011,19.6,25.1,14.4,16
"199","Ohio","OH",2011,20.1,26.6,14,16.4
"200","Oklahoma","OK",2011,16.5,24.2,9.3,17.2
"201","Oregon","OR",2011,16.4,21.4,11.7,17.5
"202","Pennsylvania","PA",2011,18.3,24.1,13,13.8
"203","Puerto Rico","PR",2011,15.3,24.1,7.8,45.6
"204","Rhode Island","RI",2011,19.6,27,13.1,14.7
"205","South Carolina","SC",2011,15.4,21.8,9.7,18.9
"206","South Dakota","SD",2011,22.1,28.7,15.7,13.9
"207","Tennessee","TN",2011,10,15.1,5.6,18.3
"208","Texas","TX",2011,18.9,26.3,11.7,18.5
"209","Utah","UT",2011,12,17,7,13.5
"210","Virginia","VA",2011,17.9,22.5,13.6,11.5
"211","Virgin Islands","VI",2011,NA,NA,NA,NA
"212","Vermont","VT",2011,18.5,24.6,12.6,11.5
"213","Washington","WA",2011,17.8,21.9,13.6,13.9
"214","Wisconsin","WI",2011,24.3,31.3,17.4,13.1
"215","West Virginia","WV",2011,10.1,15.5,5.2,18.6
"216","Wyoming","WY",2011,18.9,26.7,11,11.3
"217","Guam","GU",2014,22.9,33.8,12.2,NA
"218","Alaska","AK",2014,20.2,25.3,14.8,11.2
"219","Alabama","AL",2014,12,17.9,6.8,19.3
"220","Arkansas","AR",2014,13.3,17.9,8.9,18.9
"221","Arizona","AZ",2014,14.9,21.1,9.1,18.2
"222","California","CA",2014,15.6,20.3,11.1,16.4
"223","Colorado","CO",2014,17.5,22.8,12.2,12
"224","Connecticut","CT",2014,15.9,20.8,11.3,10.8
"225","District of Columbia","DC",2014,24.9,31.2,19.4,17.7
"226","Delaware","DE",2014,15.7,21,10.8,12.5
"227","Florida","FL",2014,15,19.8,10.6,16.5
"228","Georgia","GA",2014,14.2,19.6,9.2,18.3
"229","Hawaii","HI",2014,19.7,28,11.4,11.4
"230","Iowa","IA",2014,21.4,27.9,15.1,12.2
"231","Idaho","ID",2014,14.8,20.8,9.1,14.8
"232","Illinois","IL",2014,20.2,27.5,13.3,14.4
"233","Indiana","IN",2014,14.8,19.9,10,15.2
"234","Kansas","KS",2014,15.8,22.8,9.1,13.6
"235","Kentucky","KY",2014,12.7,18.1,7.6,19.1
"236","Louisiana","LA",2014,16,21.4,11.1,19.8
"237","Massachusetts","MA",2014,17.4,23,12.4,11.6
"238","Maryland","MD",2014,15.4,19.8,11.5,10.1
"239","Maine","ME",2014,17,23,11.5,14.1
"240","Michigan","MI",2014,18.9,24,14.3,16.2
"241","Minnesota","MN",2014,19.5,24.6,14.8,11.5
"242","Missouri","MO",2014,15.1,20.7,9.8,15.5
"243","Mississippi","MS",2014,12.8,18.5,7.6,21.5
"244","Montana","MT",2014,18.9,25.3,12.5,15.4
"245","North Carolina","NC",2014,13.6,19.6,8.3,17.2
"246","North Dakota","ND",2014,24,29.9,17.8,11.5
"247","Nebraska","NE",2014,20.3,26.8,14.1,12.4
"248","New Hampshire","NH",2014,16.8,21.6,12.4,9.2
"249","New Jersey","NJ",2014,15.8,20.5,11.6,11.1
"250","New Mexico","NM",2014,13.7,20.5,7.4,21.3
"251","Nevada","NV",2014,16,21.6,10.4,15.2
"252","New York","NY",2014,15,18.4,11.9,15.9
"253","Ohio","OH",2014,18,24.1,12.5,15.8
"254","Oklahoma","OK",2014,12.8,18.6,7.4,16.6
"255","Oregon","OR",2014,16.6,20.8,12.6,16.6
"256","Pennsylvania","PA",2014,16.7,23.2,10.6,13.6
"257","Puerto Rico","PR",2014,13.2,18.8,8.5,46.2
"258","Rhode Island","RI",2014,18.4,25.2,12.1,14.3
"259","South Carolina","SC",2014,14.1,19.7,9,18
